step time minX maxX minY maxY width height area
1 0.0100 -0.9234 19.4458 -0.1571 15.1268 20.3693 15.2840 311.3233
2 0.0200 -0.9236 19.4458 -0.1570 15.1266 20.3695 15.2836 311.3196
3 0.0300 -0.9240 19.4458 -0.1569 15.1262 20.3698 15.2831 311.3135
4 0.0400 -0.9245 19.4458 -0.1567 15.1256 20.3703 15.2823 311.3049
5 0.0500 -0.9251 19.4458 -0.1564 15.1249 20.3709 15.2813 311.2938
6 0.0600 -0.9259 19.4457 -0.1561 15.1240 20.3716 15.2801 311.2801
7 0.0700 -0.9267 19.4457 -0.1557 15.1230 20.3724 15.2787 311.2637
8 0.0800 -0.9277 19.4457 -0.1553 15.1218 20.3734 15.2770 311.2446
9 0.0900 -0.9288 19.4456 -0.1548 15.1204 20.3744 15.2752 311.2227
10 0.1000 -0.9300 19.4456 -0.1542 15.1188 20.3756 15.2731 311.1979
11 0.1100 -0.9313 19.4455 -0.1536 15.1172 20.3768 15.2708 311.1701
12 0.1200 -0.9327 19.4454 -0.1530 15.1153 20.3782 15.2683 311.1392
13 0.1300 -0.9342 19.4454 -0.1522 15.1137 20.3796 15.2659 311.1137
14 0.1400 -0.9358 19.4453 -0.1515 15.1129 20.3811 15.2644 311.1050
15 0.1500 -0.9374 19.4452 -0.1507 15.1121 20.3826 15.2628 311.0950
16 0.1600 -0.9391 19.4451 -0.1498 15.1112 20.3842 15.2610 311.0837
17 0.1700 -0.9408 19.4450 -0.1489 15.1103 20.3858 15.2592 311.0709
18 0.1800 -0.9426 19.4449 -0.1479 15.1093 20.3875 15.2572 311.0565
19 0.1900 -0.9444 19.4448 -0.1469 15.1082 20.3892 15.2552 311.0404
20 0.2000 -0.9462 19.4447 -0.1459 15.1071 20.3909 15.2530 311.0226
21 0.2100 -0.9481 19.4446 -0.1448 15.1060 20.3926 15.2508 311.0029
22 0.2200 -0.9499 19.4445 -0.1436 15.1048 20.3944 15.2484 310.9814
23 0.2300 -0.9518 19.4443 -0.1425 15.1035 20.3961 15.2460 310.9578
24 0.2400 -0.9536 19.4442 -0.1413 15.1022 20.3978 15.2434 310.9323
25 0.2500 -0.9554 19.4441 -0.1400 15.1008 20.3995 15.2408 310.9046
26 0.2600 -0.9573 19.4439 -0.1387 15.0994 20.4012 15.2381 310.8748
27 0.2700 -0.9590 19.4438 -0.1374 15.0979 20.4028 15.2353 310.8429
28 0.2800 -0.9608 19.4436 -0.1361 15.0963 20.4044 15.2324 310.8088
29 0.2900 -0.9625 19.4434 -0.1348 15.0947 20.4060 15.2295 310.7725
