step time minX maxX minY maxY width height area
1 0.0100 0.0811 19.9900 -0.6163 15.6934 19.9089 16.3097 324.7087
2 0.0200 0.0812 19.9900 -0.6163 15.6934 19.9088 16.3097 324.7061
3 0.0300 0.0814 19.9900 -0.6163 15.6933 19.9086 16.3096 324.7018
4 0.0400 0.0816 19.9900 -0.6163 15.6932 19.9084 16.3095 324.6957
5 0.0500 0.0819 19.9900 -0.6162 15.6931 19.9081 16.3094 324.6880
6 0.0600 0.0823 19.9899 -0.6162 15.6930 19.9077 16.3092 324.6785
7 0.0700 0.0827 19.9899 -0.6162 15.6929 19.9072 16.3090 324.6673
8 0.0800 0.0832 19.9898 -0.6161 15.6927 19.9067 16.3088 324.6543
9 0.0900 0.0837 19.9898 -0.6160 15.6926 19.9060 16.3086 324.6397
10 0.1000 0.0843 19.9897 -0.6160 15.6924 19.9054 16.3083 324.6233
11 0.1100 0.0850 19.9896 -0.6159 15.6921 19.9046 16.3080 324.6052
12 0.1200 0.0857 19.9895 -0.6158 15.6919 19.9038 16.3077 324.5854
13 0.1300 0.0866 19.9894 -0.6157 15.6916 19.9029 16.3074 324.5639
14 0.1400 0.0874 19.9893 -0.6156 15.6914 19.9019 16.3070 324.5406
15 0.1500 0.0884 19.9892 -0.6155 15.6911 19.9009 16.3066 324.5157
16 0.1600 0.0894 19.9891 -0.6154 15.6907 19.8998 16.3062 324.4890
17 0.1700 0.0904 19.9890 -0.6153 15.6904 19.8986 16.3057 324.4606
18 0.1800 0.0916 19.9889 -0.6152 15.6900 19.8973 16.3052 324.4305
19 0.1900 0.0928 19.9888 -0.6151 15.6896 19.8960 16.3047 324.3987
20 0.2000 0.0940 19.9886 -0.6149 15.6892 19.8946 16.3042 324.3652
21 0.2100 0.0954 19.9885 -0.6148 15.6888 19.8931 16.3036 324.3300
22 0.2200 0.0967 19.9883 -0.6147 15.6884 19.8916 16.3030 324.2930
23 0.2300 0.0982 19.9882 -0.6145 15.6879 19.8900 16.3024 324.2543
24 0.2400 0.0997 19.9880 -0.6143 15.6874 19.8883 16.3018 324.2139
25 0.2500 0.1013 19.9878 -0.6142 15.6869 19.8865 16.3011 324.1718
26 0.2600 0.1030 19.9877 -0.6140 15.6864 19.8847 16.3004 324.1280
27 0.2700 0.1047 19.9875 -0.6138 15.6858 19.8828 16.2996 324.0825
28 0.2800 0.1065 19.9873 -0.6136 15.6853 19.8808 16.2989 324.0352
29 0.2900 0.1083 19.9871 -0.6134 15.6847 19.8788 16.2981 323.9862
30 0.3000 0.1102 19.9869 -0.6132 15.6841 19.8766 16.2973 323.9355
31 0.3100 0.1122 19.9867 -0.6130 15.6834 19.8744 16.2965 323.8831
32 0.3200 0.1143 19.9864 -0.6128 15.6828 19.8722 16.2956 323.8289
33 0.3300 0.1164 19.9862 -0.6126 15.6821 19.8698 16.2947 323.7731
34 0.3400 0.1186 19.9860 -0.6123 15.6814 19.8674 16.2938 323.7155
35 0.3500 0.1208 19.9857 -0.6121 15.6807 19.8649 16.2928 323.6561
36 0.3600 0.1231 19.9855 -0.6119 15.6800 19.8624 16.2919 323.5950
37 0.3700 0.1255 19.9852 -0.6116 15.6793 19.8597 16.2909 323.5322
38 0.3800 0.1280 19.9850 -0.6114 15.6785 19.8570 16.2899 323.4677
39 0.3900 0.1305 19.9847 -0.6111 15.6777 19.8542 16.2888 323.4014
40 0.4000 0.1331 19.9844 -0.6108 15.6769 19.8514 16.2877 323.3334
41 0.4100 0.1357 19.9841 -0.6106 15.6761 19.8484 16.2866 323.2636
42 0.4200 0.1384 19.9839 -0.6103 15.6752 19.8454 16.2855 323.1921
43 0.4300 0.1412 19.9836 -0.6100 15.6743 19.8423 16.2843 323.1189
44 0.4400 0.1441 19.9833 -0.6097 15.6735 19.8392 16.2831 323.0439
45 0.4500 0.1470 19.9829 -0.6094 15.6725 19.8359 16.2819 322.9671
46 0.4600 0.1500 19.9826 -0.6091 15.6716 19.8326 16.2807 322.8886
47 0.4700 0.1531 19.9823 -0.6088 15.6707 19.8292 16.2794 322.8083
48 0.4800 0.1562 19.9820 -0.6084 15.6697 19.8257 16.2781 322.7262
49 0.4900 0.1594 19.9816 -0.6081 15.6687 19.8222 16.2768 322.6424
50 0.5000 0.1627 19.9813 -0.6078 15.6677 19.8186 16.2755 322.5568
51 0.5100 0.1661 19.9809 -0.6074 15.6667 19.8149 16.2741 322.4694
52 0.5200 0.1695 19.9806 -0.6071 15.6656 19.8111 16.2727 322.3802
53 0.5300 0.1730 19.9802 -0.6067 15.6646 19.8072 16.2713 322.2893
54 0.5400 0.1766 19.9799 -0.6064 15.6635 19.8033 16.2698 322.1966
55 0.5500 0.1802 19.9795 -0.6060 15.6624 19.7993 16.2684 322.1020
56 0.5600 0.1839 19.9791 -0.6056 15.6612 19.7952 16.2669 322.0057
57 0.5700 0.1877 19.9787 -0.6052 15.6601 19.7910 16.2653 321.9076
