step time minX maxX minY maxY width height area
1 0.0100 1.1241 17.7902 7.3285 12.2768 16.6661 4.9482 82.4677
2 0.0200 1.1242 17.7902 7.3285 12.2768 16.6661 4.9482 82.4674
3 0.0300 1.1242 17.7902 7.3286 12.2768 16.6661 4.9482 82.4668
4 0.0400 1.1242 17.7902 7.3286 12.2767 16.6660 4.9482 82.4661
5 0.0500 1.1242 17.7902 7.3286 12.2767 16.6660 4.9481 82.4652
6 0.0600 1.1242 17.7902 7.3287 12.2767 16.6660 4.9480 82.4641
7 0.0700 1.1242 17.7902 7.3287 12.2767 16.6660 4.9480 82.4627
8 0.0800 1.1243 17.7902 7.3288 12.2767 16.6660 4.9479 82.4612
9 0.0900 1.1243 17.7902 7.3289 12.2767 16.6659 4.9478 82.4595
10 0.1000 1.1243 17.7902 7.3289 12.2766 16.6659 4.9477 82.4575
11 0.1100 1.1244 17.7902 7.3290 12.2766 16.6658 4.9476 82.4554
12 0.1200 1.1244 17.7902 7.3291 12.2766 16.6658 4.9474 82.4530
13 0.1300 1.1245 17.7902 7.3292 12.2765 16.6657 4.9473 82.4505
14 0.1400 1.1245 17.7902 7.3294 12.2765 16.6657 4.9472 82.4477
15 0.1500 1.1246 17.7902 7.3295 12.2765 16.6656 4.9470 82.4448
16 0.1600 1.1246 17.7902 7.3296 12.2764 16.6656 4.9468 82.4416
17 0.1700 1.1247 17.7902 7.3297 12.2764 16.6655 4.9466 82.4382
18 0.1800 1.1247 17.7902 7.3299 12.2763 16.6655 4.9464 82.4347
19 0.1900 1.1248 17.7902 7.3300 12.2763 16.6654 4.9462 82.4309
20 0.2000 1.1249 17.7902 7.3302 12.2762 16.6653 4.9460 82.4269
21 0.2100 1.1250 17.7902 7.3304 12.2762 16.6652 4.9458 82.4228
22 0.2200 1.1250 17.7902 7.3306 12.2761 16.6651 4.9456 82.4184
23 0.2300 1.1251 17.7902 7.3308 12.2761 16.6651 4.9453 82.4138
24 0.2400 1.1252 17.7902 7.3310 12.2760 16.6650 4.9450 82.4091
25 0.2500 1.1253 17.7902 7.3312 12.2759 16.6649 4.9448 82.4041
26 0.2600 1.1254 17.7902 7.3314 12.2759 16.6648 4.9445 82.3989
27 0.2700 1.1255 17.7902 7.3316 12.2758 16.6647 4.9442 82.3935
28 0.2800 1.1256 17.7902 7.3318 12.2757 16.6646 4.9439 82.3879
29 0.2900 1.1257 17.7902 7.3321 12.2756 16.6645 4.9436 82.3822
30 0.3000 1.1258 17.7902 7.3323 12.2756 16.6644 4.9433 82.3762
31 0.3100 1.1259 17.7902 7.3326 12.2755 16.6642 4.9429 82.3700
32 0.3200 1.1260 17.7902 7.3328 12.2754 16.6641 4.9426 82.3636
33 0.3300 1.1262 17.7902 7.3331 12.2753 16.6640 4.9422 82.3570
34 0.3400 1.1263 17.7902 7.3334 12.2752 16.6639 4.9418 82.3503
