step time minX maxX minY maxY width height area
73 0.7300 -0.3206 20.3715 -0.5224 15.4750 20.6920 15.9974 331.0188
74 0.7400 -0.3149 20.3668 -0.5198 15.4687 20.6818 15.9885 330.6705
75 0.7500 -0.3095 20.3622 -0.5171 15.4624 20.6716 15.9795 330.3221
76 0.7600 -0.3041 20.3575 -0.5144 15.4559 20.6617 15.9703 329.9736
77 0.7700 -0.2990 20.3529 -0.5117 15.4493 20.6519 15.9610 329.6251
78 0.7800 -0.2940 20.3483 -0.5090 15.4426 20.6423 15.9516 329.2766
79 0.7900 -0.2891 20.3438 -0.5062 15.4358 20.6328 15.9420 328.9279
80 0.8000 -0.2843 20.3392 -0.5033 15.4289 20.6235 15.9322 328.5788
81 0.8100 -0.2796 20.3348 -0.5005 15.4219 20.6143 15.9224 328.2291
82 0.8200 -0.2749 20.3304 -0.4976 15.4148 20.6053 15.9124 327.8786
83 0.8300 -0.2703 20.3260 -0.4946 15.4076 20.5963 15.9022 327.5270
84 0.8400 -0.2658 20.3217 -0.4917 15.4002 20.5875 15.8919 327.1741
85 0.8500 -0.2612 20.3175 -0.4886 15.3928 20.5787 15.8814 326.8196
86 0.8600 -0.2566 20.3134 -0.4856 15.3852 20.5700 15.8708 326.4633
87 0.8700 -0.2520 20.3094 -0.4831 15.3776 20.5614 15.8606 326.1165
88 0.8800 -0.2474 20.3054 -0.4812 15.3698 20.5528 15.8509 325.7811
89 0.8900 -0.2427 20.3015 -0.4792 15.3619 20.5442 15.8411 325.4438
90 0.9000 -0.2380 20.2977 -0.4773 15.3539 20.5357 15.8312 325.1044
91 0.9100 -0.2333 20.2939 -0.4753 15.3457 20.5272 15.8211 324.7629
92 0.9200 -0.2285 20.2902 -0.4734 15.3375 20.5187 15.8109 324.4193
93 0.9300 -0.2238 20.2865 -0.4714 15.3292 20.5103 15.8005 324.0735
94 0.9400 -0.2190 20.2829 -0.4694 15.3207 20.5019 15.7901 323.7257
95 0.9500 -0.2142 20.2793 -0.4673 15.3121 20.4935 15.7794 323.3759
96 0.9600 -0.2095 20.2757 -0.4653 15.3034 20.4852 15.7687 323.0244
97 0.9700 -0.2049 20.2721 -0.4632 15.2946 20.4769 15.7578 322.6713
98 0.9800 -0.2003 20.2685 -0.4611 15.2856 20.4688 15.7468 322.3169
99 0.9900 -0.1958 20.2649 -0.4590 15.2766 20.4607 15.7356 321.9613
