step time minX maxX minY maxY width height area
1 0.0100 1.1241 19.0712 1.9706 15.6934 17.9470 13.7228 246.2840
2 0.0200 1.1242 19.0712 1.9706 15.6934 17.9470 13.7228 246.2836
3 0.0300 1.1242 19.0712 1.9706 15.6934 17.9470 13.7228 246.2828
4 0.0400 1.1242 19.0712 1.9706 15.6933 17.9470 13.7227 246.2817
5 0.0500 1.1242 19.0712 1.9706 15.6933 17.9469 13.7227 246.2803
6 0.0600 1.1242 19.0711 1.9706 15.6932 17.9469 13.7226 246.2785
7 0.0700 1.1243 19.0711 1.9706 15.6932 17.9469 13.7225 246.2765
8 0.0800 1.1243 19.0711 1.9707 15.6931 17.9468 13.7224 246.2741
9 0.0900 1.1243 19.0711 1.9707 15.6930 17.9468 13.7223 246.2715
10 0.1000 1.1244 19.0711 1.9707 15.6929 17.9467 13.7222 246.2685
11 0.1100 1.1244 19.0711 1.9708 15.6928 17.9467 13.7221 246.2652
12 0.1200 1.1245 19.0711 1.9708 15.6927 17.9466 13.7219 246.2616
13 0.1300 1.1246 19.0711 1.9709 15.6926 17.9465 13.7217 246.2577
14 0.1400 1.1246 19.0711 1.9709 15.6925 17.9465 13.7216 246.2535
15 0.1500 1.1247 19.0711 1.9710 15.6923 17.9464 13.7214 246.2490
16 0.1600 1.1248 19.0710 1.9710 15.6922 17.9463 13.7212 246.2441
17 0.1700 1.1248 19.0710 1.9711 15.6921 17.9462 13.7210 246.2390
18 0.1800 1.1249 19.0710 1.9712 15.6919 17.9461 13.7207 246.2335
19 0.1900 1.1250 19.0710 1.9712 15.6917 17.9460 13.7205 246.2278
20 0.2000 1.1251 19.0710 1.9713 15.6915 17.9459 13.7202 246.2217
21 0.2100 1.1252 19.0710 1.9714 15.6913 17.9457 13.7200 246.2153
22 0.2200 1.1253 19.0709 1.9714 15.6911 17.9456 13.7197 246.2086
23 0.2300 1.1254 19.0709 1.9715 15.6909 17.9455 13.7194 246.2016
24 0.2400 1.1255 19.0709 1.9716 15.6907 17.9454 13.7191 246.1943
25 0.2500 1.1256 19.0709 1.9717 15.6905 17.9452 13.7188 246.1867
26 0.2600 1.1258 19.0708 1.9718 15.6903 17.9451 13.7185 246.1787
27 0.2700 1.1259 19.0708 1.9719 15.6900 17.9449 13.7181 246.1705
28 0.2800 1.1260 19.0708 1.9720 15.6898 17.9448 13.7178 246.1620
29 0.2900 1.1262 19.0708 1.9721 15.6895 17.9446 13.7174 246.1531
30 0.3000 1.1263 19.0707 1.9722 15.6892 17.9444 13.7170 246.1440
31 0.3100 1.1265 19.0707 1.9723 15.6889 17.9443 13.7166 246.1345
32 0.3200 1.1266 19.0707 1.9724 15.6886 17.9441 13.7162 246.1248
33 0.3300 1.1268 19.0706 1.9725 15.6883 17.9439 13.7158 246.1147
34 0.3400 1.1269 19.0706 1.9727 15.6880 17.9437 13.7154 246.1043
35 0.3500 1.1271 19.0706 1.9728 15.6877 17.9435 13.7149 246.0936
36 0.3600 1.1273 19.0706 1.9729 15.6874 17.9433 13.7145 246.0827
37 0.3700 1.1274 19.0705 1.9731 15.6870 17.9431 13.7140 246.0714
38 0.3800 1.1276 19.0705 1.9732 15.6867 17.9429 13.7135 246.0598
39 0.3900 1.1278 19.0704 1.9733 15.6863 17.9427 13.7130 246.0479
40 0.4000 1.1280 19.0704 1.9735 15.6860 17.9424 13.7125 246.0357
41 0.4100 1.1282 19.0704 1.9736 15.6856 17.9422 13.7120 246.0232
42 0.4200 1.1284 19.0703 1.9738 15.6852 17.9420 13.7115 246.0104
43 0.4300 1.1286 19.0703 1.9739 15.6848 17.9417 13.7109 245.9973
44 0.4400 1.1288 19.0702 1.9741 15.6844 17.9415 13.7104 245.9839
45 0.4500 1.1290 19.0702 1.9742 15.6840 17.9412 13.7098 245.9702
46 0.4600 1.1292 19.0702 1.9744 15.6836 17.9410 13.7092 245.9562
47 0.4700 1.1294 19.0701 1.9746 15.6832 17.9407 13.7086 245.9419
48 0.4800 1.1296 19.0701 1.9747 15.6827 17.9404 13.7080 245.9273
49 0.4900 1.1299 19.0700 1.9749 15.6823 17.9402 13.7074 245.9123
50 0.5000 1.1301 19.0700 1.9751 15.6818 17.9399 13.7067 245.8971
51 0.5100 1.1304 19.0699 1.9753 15.6814 17.9396 13.7061 245.8816
52 0.5200 1.1306 19.0699 1.9755 15.6809 17.9393 13.7054 245.8658
53 0.5300 1.1308 19.0698 1.9757 15.6804 17.9390 13.7048 245.8497
54 0.5400 1.1311 19.0698 1.9758 15.6799 17.9387 13.7041 245.8333
55 0.5500 1.1314 19.0697 1.9760 15.6794 17.9384 13.7034 245.8166
